"support" "count" "coverage" "confidence" "lift" "leverage" "hyperLift" "hyperConfidence" "fishersExactTest" "improvement" "chiSquared" "cosine" "conviction" "gini" "oddsRatio" "phi" "doc" "RLD" "imbalance" "kulczynski" "collectiveStrength" "jaccard" "kappa" "mutualInformation" "lambda" "jMeasure" "laplace" "certainty" "addedValue" "maxconfidence" "rulePowerFactor" "ralambondrainy" "descriptiveConfirm" "confirmedConfidence" "sebag" "counterexample" "casualSupport" "casualConfidence" "leastContradiction" "centeredConfidence" "varyingLiaison" "yuleQ" "yuleY" "lerman" "implicationIndex" "importance" "regras"
0.133333333333333 2 0.133333333333333 1 2.5 0.08 1 0.857142857142857 0.142857142857143 0 3.46153846153846 0.577350269189626 NA 0.110769230769231 NA 0.480384461415261 0.692307692307692 1 0.666666666666667 0.666666666666667 12.7058823529412 0.333333333333333 0.375 NA 0.333333333333333 NA 0.75 1 0.6 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.533333333333333 1 0.333333333333333 0.6 1.5 NA NA 1.34164078649987 -1.09544511501033 0.352182518111362 "{5,8,10,13} => {2}"
0.133333333333333 2 0.133333333333333 1 5 0.106666666666667 1 0.971428571428571 0.0285714285714286 0 9.23076923076923 0.816496580927726 NA 0.196923076923077 NA 0.784464540552736 0.923076923076923 1 0.333333333333333 0.833333333333333 48.7741935483871 0.666666666666667 0.761904761904762 NA 0.666666666666667 NA 0.75 1 0.8 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.333333333333333 1 0.666666666666667 0.8 4 NA NA 2.5298221281347 -1.26491106406735 0.7501225267834 "{2,8,10,13} => {5}"
0.133333333333333 2 0.133333333333333 1 3 0.0888888888888889 1 0.904761904761905 0.0952380952380952 0 4.61538461538462 0.632455532033676 NA 0.136752136752137 NA 0.554700196225229 0.769230769230769 1 0.6 0.7 17.1717171717172 0.4 0.470588235294118 NA 0.4 NA 0.75 1 0.666666666666667 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.466666666666667 1 0.4 0.666666666666667 2 NA NA 1.63299316185545 -1.15470053837925 0.449092531119419 "{2,5,10,13} => {8}"
0.133333333333333 2 0.133333333333333 1 7.5 0.115555555555556 2 0.990476190476191 0.00952380952380953 0 15 1 NA 0.231111111111111 NA 1 1 1 0 1 NA 1 1 NA 1 NA 0.75 1 0.866666666666667 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.266666666666667 1 1 0.866666666666667 6.5 NA NA 3.3565855667131 -1.31656117720877 1.05115252244738 "{2,5,8,13} => {10}"
0.133333333333333 2 0.133333333333333 1 1.66666666666667 0.0533333333333333 1 0.657142857142857 0.342857142857143 0 1.53846153846154 0.471404520791032 NA 0.0492307692307692 NA 0.320256307610174 0.461538461538461 1 0.777777777777778 0.611111111111111 5.97683397683398 0.222222222222222 0.186046511627907 NA 0 NA 0.75 1 0.4 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.733333333333334 1 0.222222222222222 0.4 0.666666666666667 NA NA 0.730296743340221 -0.894427190999916 0.148062535455438 "{2,5,8,10} => {13}"
0.133333333333333 2 0.133333333333333 1 5 0.106666666666667 1 0.971428571428571 0.0285714285714286 0 9.23076923076923 0.816496580927726 NA 0.196923076923077 NA 0.784464540552736 0.923076923076923 1 0.333333333333333 0.833333333333333 48.7741935483871 0.666666666666667 0.761904761904762 NA 0.666666666666667 NA 0.75 1 0.8 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.333333333333333 1 0.666666666666667 0.8 4 NA NA 2.5298221281347 -1.26491106406735 0.7501225267834 "{8,10,13} => {5}"
0.133333333333333 2 0.133333333333333 1 3 0.0888888888888889 1 0.904761904761905 0.0952380952380952 0 4.61538461538462 0.632455532033676 NA 0.136752136752137 NA 0.554700196225229 0.769230769230769 1 0.6 0.7 17.1717171717172 0.4 0.470588235294118 NA 0.4 NA 0.75 1 0.666666666666667 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.466666666666667 1 0.4 0.666666666666667 2 NA NA 1.63299316185545 -1.15470053837925 0.449092531119419 "{5,10,13} => {8}"
0.133333333333333 2 0.133333333333333 1 7.5 0.115555555555556 2 0.990476190476191 0.00952380952380953 0 15 1 NA 0.231111111111111 NA 1 1 1 0 1 NA 1 1 NA 1 NA 0.75 1 0.866666666666667 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.266666666666667 1 1 0.866666666666667 6.5 NA NA 3.3565855667131 -1.31656117720877 1.05115252244738 "{5,8,13} => {10}"
0.133333333333333 2 0.133333333333333 1 1.66666666666667 0.0533333333333333 1 0.657142857142857 0.342857142857143 0 1.53846153846154 0.471404520791032 NA 0.0492307692307692 NA 0.320256307610174 0.461538461538461 1 0.777777777777778 0.611111111111111 5.97683397683398 0.222222222222222 0.186046511627907 NA 0 NA 0.75 1 0.4 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.733333333333334 1 0.222222222222222 0.4 0.666666666666667 NA NA 0.730296743340221 -0.894427190999916 0.148062535455438 "{5,8,10} => {13}"
0.133333333333333 2 0.133333333333333 1 2.5 0.08 1 0.857142857142857 0.142857142857143 0 3.46153846153846 0.577350269189626 NA 0.110769230769231 NA 0.480384461415261 0.692307692307692 1 0.666666666666667 0.666666666666667 12.7058823529412 0.333333333333333 0.375 NA 0.333333333333333 NA 0.75 1 0.6 1 0.133333333333333 0 0.133333333333333 1 NA 1 0.533333333333333 1 0.333333333333333 0.6 1.5 NA NA 1.34164078649987 -1.09544511501033 0.352182518111362 "{5,8,10} => {2}"
