,antc,consq,Support  1,count  1,Confidence  2,Added Value  3,Causal Support  4,Causal Confidence  5,Certainty Factor  6,Chi-Squared  7,Collective Strength  8,Conviction  9,Cosine 10,Coverage 11,Confirmed Confidence 12,Difference of Confidence 13,Counter Example 14,Fisher's Exact Test 15,Gini Index 16,Hyper Confidence 17,Hyper Lift 18,Imbalance Ratio 19,Importance 20,Improvement 21,Jaccard Coefficient 22,J-Measure 23,Kappa 24,Klosgen 25,Kulczynski 26,Goodman-Kruskal 27,Laplace Confidence 28,Least Contradiction 29,Lerman Similarity 30,Leverage 31,Lift 32,Max Confidence 33,Mutual Information 34,Odds Ratio 35,Phi Correlation Coeficient 36,Ralambondrainy Measure 37,Relative Linkage Disequilibrium 38,Rule Power Factor 39,Sebag-Schoenauer Measure 40,Varying Rates Liaison 41,Yule's Q 42,Yule's Y 43
353,[12 16],[6],0.2,3,0.75,0.15,0.73333,0.97593,0.375,0.51136,4.97305,1.6,0.5,0.26667,0.13333,0.20455,0.66667,0.6044,0.01636,0.53846,0.75,0.5,0.09275,-0.05,0.3,0.0133,0.14634,0.06708,0.54167,0.0,0.66667,0.33333,-0.7746,0.04,1.25,0.75,0.45995,2.5,0.18464,0.06667,0.375,0.15,3.0,0.25,0.42857,0.22515
354,[ 6 16],[12],0.2,3,0.75,0.08333,0.8,0.97667,0.25,0.17045,3.48214,1.33333,0.47434,0.26667,0.13333,0.11364,0.66667,1.0,0.00505,0.40659,0.75,0.54545,0.03476,-0.05,0.27273,0.00438,0.07692,0.03727,0.525,0.0,0.66667,0.3,-0.8584,0.02222,1.125,0.75,0.15187,1.71429,0.1066,0.06667,0.25,0.15,3.0,0.125,0.26316,0.13394
355,[16],[12],0.26667,4,0.8,0.13333,0.86667,0.98,0.4,0.6,4.3956,1.66667,0.56569,0.33333,0.2,0.2,0.75,0.6004,0.01778,0.56643,0.8,0.45455,0.08796,0.0,0.36364,0.01456,0.16,0.06885,0.6,0.0,0.71429,0.4,-0.79295,0.04444,1.2,0.8,0.4958,2.66667,0.2,0.06667,0.4,0.21333,4.0,0.2,0.45455,0.24041
356,[16],[6],0.26667,4,0.8,0.2,0.8,0.97926,0.5,1.25,6.55738,2.0,0.59628,0.33333,0.2,0.3,0.75,0.58042,0.04,0.70629,0.8,0.4,0.1549,0.0,0.4,0.03051,0.25,0.10328,0.62222,0.0,0.71429,0.44444,-0.69926,0.06667,1.33333,0.8,1.03955,4.0,0.28868,0.06667,0.5,0.21333,4.0,0.33333,0.6,0.33333
357,[16],[13],0.2,3,0.6,0.0,0.66667,0.95852,0.0,0.0,2.95082,1.0,0.44721,0.33333,0.06667,0.0,0.33333,1.0,0.0,0.28671,0.6,0.36364,-0.00895,0.0,0.27273,0.0,0.0,0.0,0.46667,0.0,0.57143,0.33333,-0.95745,0.0,1.0,0.6,0.0,1.0,0.0,0.13333,-0.0,0.12,1.5,0.0,0.0,0.0
358,[16],[9],0.2,3,0.6,0.2,0.46667,0.95111,0.33333,1.25,9.0,1.5,0.54772,0.33333,0.06667,0.3,0.33333,0.32867,0.04,0.71329,0.75,0.125,0.23408,0.0,0.375,0.02703,0.28571,0.08944,0.55,0.16667,0.57143,0.5,-0.63962,0.06667,1.5,0.6,0.97637,3.5,0.28868,0.13333,0.33333,0.12,1.5,0.5,0.55556,0.30334
359,[9],[16],0.2,3,0.5,0.16667,0.33333,0.92667,0.25,1.25,9.0,1.33333,0.54772,0.4,0.0,0.27778,0.0,0.32867,0.03704,0.71329,0.75,0.125,0.26324,0.0,0.375,0.02356,0.28571,0.07454,0.55,0.0,0.5,0.6,-0.63962,0.06667,1.5,0.6,0.97637,3.5,0.28868,0.2,0.33333,0.1,1.0,0.5,0.55556,0.30334
360,[ 1 12 13],[6],0.13333,2,1.0,0.4,0.73333,1.0,1.0,1.53846,5.97683,,0.4714,0.13333,0.13333,0.46154,1.0,0.48571,0.04923,0.65714,1.0,0.77778,0.14806,0.0,0.22222,,0.18605,0.14606,0.61111,0.0,0.75,0.22222,-0.57905,0.05333,1.66667,1.0,,,0.32026,0.0,1.0,0.13333,,0.66667,,
361,[ 1  6 13],[12],0.13333,2,0.5,-0.16667,0.66667,0.95333,-0.5,0.68182,1.39286,0.66667,0.31623,0.26667,0.0,-0.22727,0.0,0.56044,0.0202,0.07692,0.5,0.5,-0.14133,-0.27778,0.16667,0.0157,-0.15385,-0.06086,0.35,0.0,0.5,0.2,-1.1166,-0.04444,0.75,0.5,0.56844,0.375,-0.2132,0.13333,0.25,0.06667,1.0,-0.25,-0.45455,-0.24041
362,[ 1  6 12],[13],0.13333,2,0.66667,0.06667,0.66667,0.97037,0.16667,0.06944,3.5,1.2,0.3849,0.2,0.06667,0.08333,0.5,1.0,0.00222,0.34066,0.66667,0.6,0.02119,-0.13333,0.2,0.00189,0.04762,0.02434,0.44444,0.0,0.6,0.22222,-0.82524,0.01333,1.11111,0.66667,0.07057,1.42857,0.06804,0.06667,0.16667,0.08889,2.0,0.11111,0.17647,0.08893
363,[ 1 13],[12],0.13333,2,0.5,-0.16667,0.66667,0.95333,-0.5,0.68182,1.39286,0.66667,0.31623,0.26667,0.0,-0.22727,0.0,0.56044,0.0202,0.07692,0.5,0.5,-0.14133,-0.1,0.16667,0.0157,-0.15385,-0.06086,0.35,0.0,0.5,0.2,-1.1166,-0.04444,0.75,0.5,0.56844,0.375,-0.2132,0.13333,0.25,0.06667,1.0,-0.25,-0.45455,-0.24041
364,[ 1 12],[13],0.13333,2,0.66667,0.06667,0.66667,0.97037,0.16667,0.06944,3.5,1.2,0.3849,0.2,0.06667,0.08333,0.5,1.0,0.00222,0.34066,0.66667,0.6,0.02119,-0.13333,0.2,0.00189,0.04762,0.02434,0.44444,0.0,0.6,0.22222,-0.82524,0.01333,1.11111,0.66667,0.07057,1.42857,0.06804,0.06667,0.16667,0.08889,2.0,0.11111,0.17647,0.08893
365,[ 6 13],[1],0.26667,4,0.57143,0.2381,0.4,0.93143,0.35714,3.34821,14.5283,1.55556,0.67612,0.46667,0.06667,0.44643,0.25,0.11888,0.09921,0.89977,1.0,0.25,0.4437,0.01587,0.5,0.05537,0.45455,0.12295,0.68571,0.2,0.55556,0.8,-0.49473,0.11111,1.71429,0.8,2.75437,9.33333,0.47246,0.2,0.625,0.15238,1.33333,0.71429,0.80645,0.50679
366,[ 1 13],[6],0.26667,4,1.0,0.4,0.86667,1.0,1.0,3.63636,11.13962,,0.66667,0.26667,0.26667,0.54545,1.0,0.1033,0.11636,0.90769,1.0,0.55556,0.25661,0.0,0.44444,,0.39024,0.20656,0.72222,0.16667,0.83333,0.44444,-0.5164,0.10667,1.66667,1.0,,,0.49237,0.0,1.0,0.26667,,0.66667,,
